Date,Open_SPY,High_SPY,Low_SPY,Close_SPY,Adj_Close_SPY,Volume_SPY,Open_BA,High_BA,Low_BA,Close_BA,Adj_Close_BA,Volume_BA
2022-01-03,476.2999877929688,477.8500061035156,473.8500061035156,477.7099914550781,466.5633239746094,72668200.0,204.0,210.5500030517578,203.33999633789065,207.8600006103516,207.8600006103516,9060200.0
2022-01-04,479.2200012207031,479.9800109863281,475.5799865722656,477.5499877929688,466.4070434570313,71178700.0,211.3000030517578,214.55999755859372,209.77999877929688,213.6300048828125,213.6300048828125,11414600.0
2022-01-05,477.1600036621094,477.9800109863281,468.2799987792969,468.3800048828125,457.4510498046875,104538900.0,216.63999938964844,218.92999267578125,211.80999755859372,213.07000732421875,213.07000732421875,11564700.0
2022-01-06,467.8900146484375,470.8200073242188,465.4299926757813,467.9400024414063,457.0212707519531,86858900.0,214.63999938964844,216.0,207.8600006103516,211.33999633789065,211.33999633789065,7142200.0
2022-01-07,467.9500122070313,469.2000122070313,464.6499938964844,466.0899963378906,455.2144775390625,85111600.0,212.97999572753903,218.32000732421875,212.3800048828125,215.5,215.5,9526400.0
2022-01-10,462.7000122070313,465.739990234375,456.6000061035156,465.510009765625,454.6479797363281,119362000.0,214.25999450683597,215.27999877929688,207.1300048828125,209.30999755859372,209.30999755859372,8229000.0
2022-01-11,465.2300109863281,469.8500061035156,462.0499877929688,469.75,458.7890625,74303100.0,209.0,217.02999877929688,208.41000366210935,216.0200042724609,216.0200042724609,8098400.0
2022-01-12,471.5899963378906,473.2000122070313,468.9400024414063,471.0199890136719,460.0294494628906,67605400.0,217.08999633789065,221.2400054931641,216.3000030517578,217.4499969482422,217.4499969482422,9134500.0
2022-01-13,472.1900024414063,472.8800048828125,463.4400024414063,464.5299987792969,453.6908874511719,91173100.0,222.25,226.88999938964844,220.0500030517578,223.8999938964844,223.8999938964844,17628000.0
2022-01-14,461.1900024414063,465.0899963378906,459.8999938964844,464.7200012207031,453.8764343261719,95890900.0,222.16000366210935,226.1999969482422,220.25,225.9600067138672,225.9600067138672,8053500.0
2022-01-18,459.739990234375,459.9599914550781,455.30999755859375,456.489990234375,445.8384704589844,109709100.0,224.5,229.6699981689453,224.25999450683597,225.00999450683597,225.00999450683597,8930700.0
2022-01-19,458.1300048828125,459.6099853515625,451.4599914550781,451.75,441.2090759277344,109357600.0,225.1000061035156,225.4199981689453,216.94000244140625,217.0800018310547,217.0800018310547,9382800.0
2022-01-20,453.75,458.739990234375,444.5,446.75,436.32568359375,122379700.0,217.3800048828125,221.9499969482422,213.4199981689453,214.19000244140625,214.19000244140625,7636800.0
2022-01-21,445.55999755859375,448.05999755859375,437.9500122070313,437.9800109863281,427.7603759765625,202271200.0,213.7899932861328,213.7899932861328,204.57000732421875,205.44000244140625,205.44000244140625,11548500.0
2022-01-24,432.0299987792969,440.3800048828125,420.760009765625,439.8399963378906,429.5769653320313,251783900.0,199.8500061035156,204.8000030517578,192.50999450683597,204.1999969482422,204.1999969482422,13796500.0
2022-01-25,433.05999755859375,439.7200012207031,427.1499938964844,434.4700012207031,424.332275390625,167997300.0,200.1000061035156,205.6300048828125,197.5500030517578,204.1000061035156,204.1000061035156,8824500.0
2022-01-26,440.7200012207031,444.0400085449219,428.8599853515625,433.3800048828125,423.2677001953125,186391100.0,206.2100067138672,206.2100067138672,191.9199981689453,194.2700042724609,194.2700042724609,19974400.0
2022-01-27,438.260009765625,441.5899963378906,429.4500122070313,431.239990234375,421.1776123046875,149878300.0,196.3800048828125,199.7100067138672,188.63999938964844,189.75,189.75,12670100.0
2022-01-28,432.6799926757813,442.0,427.8200073242188,441.9500122070313,431.6377258300781,164457400.0,188.77999877929688,190.72000122070312,183.7700042724609,190.57000732421875,190.57000732421875,10966700.0
2022-01-31,441.239990234375,450.2799987792969,439.80999755859375,449.9100036621094,439.4120178222656,152251400.0,190.72999572753903,200.33999633789065,190.0,200.2400054931641,200.2400054931641,15504600.0
2022-02-01,450.6799926757813,453.6300048828125,446.9400024414063,452.9500122070313,442.3810729980469,123155400.0,202.47999572753903,208.88999938964844,200.5,208.33999633789065,208.33999633789065,12265100.0
2022-02-02,455.5,458.1199951171875,453.0499877929688,457.3500061035156,446.6784057617188,117361000.0,205.42999267578125,208.38999938964844,203.2100067138672,207.5200042724609,207.5200042724609,7843700.0
